index,GID_LON,GID_LAT,T2000_01,T2001_01,T2002_01,T2003_01,T2004_01,T2005_01,T2006_01,T2007_01,T2008_01,T2009_01,T2010_01,T2011_01,T2012_01,T2013_01,T2014_01
38667,93.75,36.282722513089,1.7281799,1.6148071,2.295105,1.9853516,2.3917542,1.9422607,1.9761353,2.1743164,2.0706787,1.9810181,2.2739868,2.8087158,2.386963,2.0683594,2.7150269
38668,95.0,36.282722513089,3.2856445,3.078003,3.6828003,3.4890747,3.759552,3.5047913,3.310791,3.465973,3.4141846,3.450714,3.5124817,4.146942,3.8197632,3.6361694,4.04895
38669,96.25,36.282722513089,3.4571838,3.3066406,3.9528198,3.808258,4.105255,3.8125,3.6557922,3.8289185,3.8578491,3.9599,3.8586426,4.473877,4.286255,3.9481812,4.345093
38932,65.0,37.225130890052355,18.748291,19.385742,18.639343,18.744446,18.682068,18.728394,18.74588,19.013855,19.017212,18.496277,19.170593,18.699524,18.826477,18.733612,19.168
38933,66.25,37.225130890052355,18.079102,18.492096,17.835846,17.867554,18.024475,17.98758,18.013733,18.269836,18.24234,17.744232,18.420776,18.013824,18.154663,17.91626,18.48233
38934,67.5,37.225130890052355,17.378815,17.598175,17.174072,17.080475,17.281067,17.128784,17.155182,17.394043,17.422638,16.932068,17.661407,17.260986,17.461975,17.156403,17.64032
38935,68.75,37.225130890052355,16.453735,16.663147,16.418518,16.292114,16.45691,16.152405,16.26886,16.482666,16.545319,16.010986,16.87201,16.448273,16.721375,16.259338,16.778595
38936,70.0,37.225130890052355,10.519348,10.678284,10.827423,10.5564575,10.584717,10.096313,10.2369995,10.623108,10.652466,10.169006,11.068054,10.785461,11.084534,10.327759,11.033264
38937,71.25,37.225130890052355,0.54022217,0.19604492,0.6667175,0.17962646,0.49295044,-0.014770508,0.11254883,0.18811035,0.5319824,0.0708313,1.2803955,0.97198486,0.65625,0.20214844,0.7163696
38938,72.5,37.225130890052355,-4.81723,-5.1636353,-4.4211426,-5.0175476,-4.7407227,-5.168762,-5.068054,-5.0129395,-4.8778076,-4.8931274,-4.118408,-4.022949,-4.430298,-4.8381042,-4.3187256
38939,73.75,37.225130890052355,-5.643036,-5.7164,-5.0717163,-5.705078,-5.4789734,-5.8453064,-5.709198,-5.581421,-5.6678467,-5.4626465,-4.900238,-4.743622,-4.9860535,-5.3045044,-4.9241943
38940,75.0,37.225130890052355,-4.3027344,-4.1088867,-3.4930115,-4.137329,-3.9397278,-4.338379,-3.9951477,-4.004364,-4.1170044,-3.9222412,-3.489685,-3.1912231,-3.3946228,-3.7953796,-3.4501343
38941,76.25,37.225130890052355,-0.9406128,-0.62802124,-0.2234497,-0.7789612,-0.29345703,-1.284668,-0.4536438,-0.23059082,-0.6329956,-0.5664673,0.24987793,0.20413208,0.4560547,-0.33581543,0.061279297
38942,77.5,37.225130890052355,4.0222473,4.4903564,4.993042,4.493988,4.772461,4.054474,4.4313965,4.7693176,4.6459045,4.3924866,5.1604614,5.0906067,5.20047,4.773712,5.317108
38943,78.75,37.225130890052355,7.626892,8.282532,8.43158,8.17157,8.208282,7.9548645,7.9308167,8.168701,8.297638,7.871582,8.618286,8.43161,8.36731,8.231079,8.74115
38944,80.0,37.225130890052355,10.3836975,11.115356,11.085632,10.9027405,10.998474,10.787476,10.629089,10.861816,11.031738,10.594635,11.363525,11.1866455,10.838135,10.785278,11.539459
38945,81.25,37.225130890052355,11.539368,12.113586,12.312256,12.128906,12.108826,12.09491,11.898743,12.118774,12.265015,12.019501,12.543396,12.188232,12.105133,12.128845,12.725159
38946,82.5,37.225130890052355,11.206238,11.718933,12.0216675,11.722809,11.823273,11.753296,11.603516,11.805725,11.863342,11.604797,12.179016,11.966248,11.859009,11.849976,12.363525
38947,83.75,37.225130890052355,8.867462,9.209412,9.682434,9.238403,9.368225,9.295349,9.278442,9.419098,9.368835,9.176453,9.705505,9.668121,9.552551,9.410156,9.94043
38948,85.0,37.225130890052355,5.3277893,5.507141,6.1392517,5.6868286,5.8725586,5.6222534,5.6591797,5.642212,5.710144,5.581482,5.9714966,6.204468,6.0180054,5.8272095,6.3530273
38949,86.25,37.225130890052355,0.61087036,0.47875977,1.2557983,1.0264587,1.2902527,0.81799316,0.8040161,0.9960327,0.9081421,1.1289062,1.3366699,1.6859131,1.5319519,1.1533203,1.7487183
38950,87.5,37.225130890052355,-2.520172,-3.078827,-2.1294556,-2.3087769,-1.7565002,-2.2924805,-2.3243713,-2.111023,-2.113037,-2.1258545,-1.9089355,-1.465332,-1.6789246,-2.0159607,-1.3809814
38951,88.75,37.225130890052355,-3.3742065,-3.8825378,-2.8104248,-3.0239258,-2.6860352,-3.22641,-3.3434753,-2.9440918,-2.796753,-2.9726257,-2.7374573,-2.3477478,-2.5506897,-2.6428833,-2.1473083
38952,90.0,37.225130890052355,-2.4961548,-2.9190063,-1.876709,-2.1757202,-1.7703247,-2.1643677,-2.445404,-2.137329,-1.88974,-2.027954,-1.8046875,-1.4253845,-1.6296387,-1.8710327,-1.3512573
38953,91.25,37.225130890052355,-0.3149109,-0.467865,0.48999023,0.09158325,0.52249146,0.04360962,-0.03866577,0.20953369,0.1642456,0.1831665,0.42694092,0.82891846,0.6351929,0.29864502,0.9532776
38954,92.5,37.225130890052355,3.4928284,3.534729,4.0874634,3.532898,4.083557,3.7576904,3.5154114,3.8338928,3.7696838,3.7330322,3.9913635,4.2884216,4.2085266,3.7438354,4.516266
38955,93.75,37.225130890052355,5.8549805,5.7285156,6.4776917,5.939514,6.4029846,6.099243,5.902252,6.2632446,6.1993713,6.282654,6.455841,6.722473,6.579468,6.4084473,6.8779297
38956,95.0,37.225130890052355,5.5493164,5.351837,6.0792236,5.861389,6.1726074,5.7590637,5.452545,5.9693604,5.8564453,6.01651,6.125061,6.538574,6.2117004,6.042053,6.564636
38957,96.25,37.225130890052355,3.4195557,3.2000732,3.840973,3.7771606,4.2025757,3.6458435,3.4325256,3.861145,3.7653198,4.132904,3.91687,4.46109,4.293274,4.0582886,4.478821
